Date,City,Province,Incident,Type of Violence,Age of Victim,Gender of Victim,Gender of Victim(s),Gender of Victim(s),Gender of Victim(s),Gender of Victim(s),News Report Link,Follow-up?,Follow-up link,Headlines
"1st March, 2021",Rawalpindi,Punjab,11 men arrested for kidnapping a young man and filming him being molested and robbed him of his belongings,"Kidnapping, robbery, harassment",,Male,,,,,https://tribune.com.pk/epaper/news/Islamabad/2021-03-02/NmRkZDIzMWYxZTRiMjAxMTA5NDI4YTQ4NmQzMDBjOTguanBlZw%3D%3D,,,
"1st March, 2021",Dera Ghazi Khan,Punjab,Police arrested three suspects for allegedly gang-raping minors and filming the acts,"Child abuse, rape, blackmailing, non-consensual filming ","Unknown, but minor",,,,,,https://tribune.com.pk/story/2287002/gang-of-paedophiles-who-posted-videos-online-busted-in-dgk,,,
"2nd March, 2021",Karachi,Sindh,A young man shot at and wounded a young woman before killing himself,Murder,25,Female,,,,,https://www.dawn.com/news/1610352/youth-commits-suicide-after-wounding-woman; https://tribune.com.pk/epaper/news/Lahore/2021-03-03/ZGQwNDNlMGYwZjRjZGI1MjhjMGVjNzcyMTk0MjllZmYuanBlZw%3D%3D,,,
"3rd March, 2021",Kurianwala,Punjab,A woman was allegedly strangled to death by her husband and brother in the name of honour,"Domestic violence, murder, honour killing",26,Female,,,,,https://tribune.com.pk/story/2287385/spouse-brother-kill-woman-in-punjab,,,
"4th March, 2021",Gujranwala,Punjab,A minor girl went missing and was later found dead. Police suspect sexual abuse.,"Child abuse, sexual assault, murder",10,Female,,,,,https://www.dawn.com/news/1610532/missing-girls-body-found-in-box-at-her-home,,,
"4th March, 2021",Dadu,Sindh,A man subjected a teenage girl to sexual assault when she went to his house to purchase milk,"Child abuse, rape","Unknown, but minor",Female,,,,,https://www.dawn.com/news/1610664/teenage-girl-raped-in-dadu,,,
"4th March, 2021",Faislabad,Punjab,Man strangled wife to death over domestic dispute,"Domestic violence, murder",,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2021-03-05/MGNjOWE4MjkwOWZmYTQ4YzQyYzhkNmU1OWQxMTljNGMuanBlZw%3D%3D,,,
"4th March, 2021",Rawalpindi,Punjab,Man attempts to murder his wife,"Domestic violence, attepted murder",,Female,,,,,https://tribune.com.pk/epaper/news/Islamabad/2021-03-06/ZjkwZDE2NDU3NTExMGUxZDBiMmYyMGU4ZjAzNGQ5ZWMuanBlZw%3D%3D,,,
"4th March, 2021",Peshawar,KP,A class one student was turned into an ice addict and then repeatedly raped by a coach driver,"Child abuse, rape","Unknown, but minor",Male,,,,,https://tribune.com.pk/story/2287659/coach-driver-assaults-child-after-making-him-ice-addict,,,
"6th March, 2021",Najour,KP,Woman shot in the name of honour,"Honour killing, murder",50,Female,,,,,https://www.thenews.com.pk/print/800278-married-woman-from-bajaur-agency-shot-dead,,,
"6th March, 2021",Okara,Punjab,A man shot dead his nephew over a marriage proposal issue,"Domestic violence, murder",,Male,,,,,https://www.dawn.com/news/1611056/man-kills-nephew-over-marriage-issue,,,
"6th March, 2021",Taxila,Punjab,A man was arrested for allegedly burning his wife to death,"Domestic violence, murder",22,Female,,,,,https://www.dawn.com/news/1611090/man-burns-wife-to-death,,,
"6th March, 2021",Karachi,Sindh,"A woman shot dead at her house's door step, she had married without her family's approval",Murder,,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2021-03-07/ZjkzODAyOWY2NWE4NDI5MjA1ZWE4YjcyY2MyMWQwYTcuanBlZw%3D%3D,,,
"6th March, 2021",Sukkur,Sindh,A teenage boy was raped and killed,"Child abuse, rape, murder",14,Male,,,,,https://tribune.com.pk/epaper/news/Karachi/2021-03-08/MDgwZjgxMTg1YTk2YTBmNDY5ZGVkODA2NzY0Y2YxYWUuanBlZw%3D%3D,,,
"7th March, 2021",Bhawalpur,Punjab,A minor girl was raped by an unidentified man,"Child abuse, rape","Unknown, but minor",Female,,,,,https://www.dawn.com/news/1611327/minor-girl-raped-by-unidentified-man-in-bahawalpur,,,
"7th March, 2021",Gujrat,Punjab,Police detained a man for the murder his wide and 10-year-old son at their house.,"Domestic violence, murder","38, 10",Female,Male,,,,https://www.dawn.com/news/1611310/man-held-after-murder-of-wife-child,,,
"7th March, 2021",Shaheed Benazirabad,Sindh,"A man shot his wife head over ""honour""","Domestic violence, murder, honour killing",23,Female,,,,,https://tribune.com.pk/epaper/news/Islamabad/2021-03-08/YTkzMmE2MGVjMzI1OGFhYTMyN2FmMTUzMzYwNjM0YWUuanBlZw%3D%3D,,,
"7th March, 2021",Shaheed Benazirabad,Sindh,Man strangles wife to death,"Domestic violence, murder",25,Female,,,,,https://tribune.com.pk/epaper/news/Islamabad/2021-03-08/YTkzMmE2MGVjMzI1OGFhYTMyN2FmMTUzMzYwNjM0YWUuanBlZw%3D%3D,,,
"7th March, 2021",Faislabad,Punjab,Woman kills herelf after fight with inlaws,Suicide,,Female,,,,,https://tribune.com.pk/epaper/news/Islamabad/2021-03-08/MGNlYTViODllZjkwYzlmZDg4ZDk4OTQyNjkxMTQ4MmEuanBlZw%3D%3D,,,
"7th March, 2021",Rawalpindi,Punjab,"A man blackmailed a woman through a fake maraige certificate, looted her and tried to set her on fire","Physical assault, torture, blackmailing",,Female,,,,,https://tribune.com.pk/epaper/news/Islamabad/2021-03-08/MGU2OTQ0MWNkNTdhZTQwMTQyNWY2NTY0ZTc3ZjcxNGUuanBlZw%3D%3D,,,
"8th March, 2021",Ghotki,Sindh,Two hindu girls abducted and forcibly converted,"Abduction, forced conversion",,Female,Female,,,,https://tribune.com.pk/story/2288979/two-hindu-girls-forcibly-converted,,,
"9th March, 2021",Muzaffargarh,Punjab,Man throws acid at his wife over a domestic dispute,"Domestic violence, acid attack",42,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2021-03-10/ZmJiN2E0MDU4N2I3ODk5ZDVhZTQ4NjJiMzZhNGFkYTMuanBlZw%3D%3D,,,
"9th March, 2021",Khurrianwala,Punjab,A man killed his ex-wife's brother over a dispute regarding his divorce,"Domestic violence, murder",48,Male,,,,,https://tribune.com.pk/epaper/news/Lahore/2021-03-10/NDExZDFmNjIzZWRkZjg4ODM2OWRmYTAyNjkwM2U2Y2YuanBlZw%3D%3D,,,
"9th March, 2021",Sahiwal,Punjab,Man killed his wife over a domestic dispute,"Domestic violence, murder",,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2021-03-10/MjEwNGY0MGRiNWJjMDY0YmQxOWJlZWQ4MTJmZjY4NTkuanBlZw%3D%3D,,,
"9th March, 2021",Dera Murad Jamali,Balochistan,A man gunned down his wife and another man in the name of honour,"Honour killing, murder",,Female,Male,,,,https://tribune.com.pk/epaper/news/Karachi/2021-03-11/YjI3MWEyNjM0N2VjOGNkYjY1ZWZjOGZiNDNiMWIwMjEuanBlZw%3D%3D; https://www.dawn.com/news/1611664/two-shot-dead-in-name-of-honour,,,
"10th March, 2021",Swabi,KP,Child raped ,"Child abuse, rape",5,Male,,,,,https://tribune.com.pk/epaper/news/Karachi/2021-03-11/ZjlkZTM0MmRhNDBlYTcxNmZmMjY0ZDc4OWFiMTJiNTguanBlZw%3D%3D; https://www.dawn.com/news/1611799/man-arrested-for-assaulting-boy-in-swabi,,,
"10th March, 2021",Sukkur,Sindh,A gang of armed men barged into a Hindu family’s house and kidnapped a teenage girl at gunpoint.,"Abduction, forced conversion",13,Female,,,,,https://www.dawn.com/news/1611822/kidnappers-storm-hindu-familys-house-snatch-girl,Yes,https://www.dawn.com/news/1612873/convert-girl-handed-over-to-police,
"11th March, 2021",Faislabad,Punjab,Man strangles wife to death over domestic dispute,"Domestic violence, murder",,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2021-03-12/MWMyM2FhMjRjNDJjNDk4MmJkMjQ5Y2Y4YWUxMTQ4ZWQuanBlZw%3D%3D,,,
"11th March, 2021",Lahore,Punjab,A sexual healer attempted to sexually assault a woman,Attempted rape,,Female,,,,,https://tribune.com.pk/epaper/news/Lahore/2021-03-12/MDkzODdiZjUxNDViMjhlOGJlZTVkNzIxNjNlM2MxYTkuanBlZw%3D%3D,,,
"11th March, 2021",Faislabad,Punjab,A minor boy was raped and murdered. The suspect later committed suicide.,"Child abuse, rape, abduction",11,Male,,,,,https://www.dawn.com/news/1612751/man-commits-suicide-after-rape-murder-of-boy,,,
"11th March, 2021",Dijkot,Punjab,"A minor boy was reported missing, and was subsequently found dead and subjected to rape","Child abuse, rape, abduction",12,Male,,,,,https://tribune.com.pk/story/2289441/minor-rape-victim-found-dead-in-mamoun-kanjan,,,
"12th March, 2021",Larkana,Sindh,A woman was gang raped by as doctor and 3 technicians when being operated upon,Gang rape,,Female,,,,,https://tribune.com.pk/story/2289315/doctor-three-technicians-remanded-for-raping-woman; https://tribune.com.pk/story/2289629/rape-cum-murder-suspect-commits-suicide,,,
"13th March, 2021",Muzaffargarh,Punjab,Police arrest man suspected of raping a minor girl a few days ago,"Child abuse, rape",6,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2021-03-14/ODk1YzE2NWZhZTU3MmUwOTI4ZDE4YjFkZGE0MzU0MDYuanBlZw%3D%3D,,,
"13th March, 2021",Khurrianwala,Punjab,A teenage girl was gang raped on the pretext of giving her a job in someone's house from.,"Child abuse, gang rape, abduction","Unknown, but minor",Female,,,,,https://tribune.com.pk/story/2289248/teenage-girl-woman-sexually-assaulted,,,
"13th March, 2021",Lahore,Punjab,A man lured a woman standing with her minor son on the pretext of igiving her a job as a maid. The suspect along with 3 accomplices subjected her to rape,"Rape, abduction",,Female,,,,,https://tribune.com.pk/story/2289248/teenage-girl-woman-sexually-assaulted,,,
"14th March, 2021",Taxila,Punjab,"A police ASI was arrested for allegedly sexually assaulting a woman, making her video and later blackmailing her.","Rape, non-consensual filming, blackmailing",,Female,,,,,https://www.dawn.com/news/1612520/asi-booked-for-sexually-assaulting-woman,,,
"14th March, 2021",Lakki Marwat,KP,"Man kills wife, son over petty dispute","Domestic violence, murder",,Female,Male,,,,https://www.dawn.com/news/1612375/man-kills-wife-son-over-petty-dispute,,,
"15th March, 2021",Karachi,Sindh,A woman was shot and injured after she rejected a marriage proposal.,"Domestic violence, physical assault",50,Female,,,,,https://tribune.com.pk/story/2289638/man-opens-fire-at-widow-in-karachi,,,
"15th March, 2021",Rawalpindi,Punjab,A woman was killed allegedly by her husband over a family dispute,"Domestic violence, murder",22,Female,,,,,https://www.thenews.com.pk/print/804325-man-kills-wife,,,
"15th March, 2021",Karachi,Sindh,A man shot a widow four times after she refused his marriage proposal at her house,Murder,50,Female,,,,,https://www.thenews.com.pk/print/804963-widow-shot-for-refusing-marriage-proposal,,,
"15th March, 2021",Lahore,Punjab,Man shots his wife and daughter by hiring an assasin,"Domestic violence, murder",,Female,Female,,,,https://tribune.com.pk/story/2289997/man-turns-out-to-be-killer-of-wife-and-daughter,,,
"16th March, 2021",Karachi,Sindh,A court remanded in judicial custody a suspect detained for ‘blackmailing’ a girl and posting her indecent pictures on social media.,"Blackmailing, online harassment, non-consenusal use of images",,Female,,,,,https://www.dawn.com/news/1612879/man-remanded-in-custody-for-blackmailing-girl,,,
"17th March, 2021",Hyderabad,Sindh,Man kills wife and takes his own life,"Domestic violence, murder",23,Female,,,,,https://tribune.com.pk/epaper/news/Islamabad/2021-03-18/YjA2MWVlMjE5ODVhNDYwNDY5NmY0MDRjYzZmMGZjNWMuanBlZw%3D%3D,,,
"17th March, 2021",Karachi,Sindh,Police suspect woman found dead was killed by her husband,"Domestic violence, murder",,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2021-03-18/YTQ3ZWYwZjU1NmU2YTI5ZjFhYjFmOTUwZGQ2MzNmNDAuanBlZw%3D%3D,,,
"17th March, 2021",Rawalpindi,Punjab,A man raped a teenage girl and later coercively obtained her signatures on a marriage certificate at gunpoint.,"Child abuse, rape, forced marriage",15,Female,,,,,https://tribune.com.pk/story/2290013/man-booked-for-molesting-girl-in-rawalpindi,,,
"18th March, 2021",Karachi,Sindh,A brother slit the throats of his sister and another man on suspicion of romantic involvement,"Honour killing, murder, domestic violence",,Female,Male,,,,https://www.thenews.com.pk/print/806293-brothers-kill-woman-neighbour,,,
"18th March, 2021",Karachi,Sindh,Two brothers kill their sister and neighbour in an honour killing,"Honour killing, murder, domestic violence",,Female,Male,,,,https://tribune.com.pk/epaper/news/Karachi/2021-03-19/YTdiZjUwMjgxZjZjOTVhNzljNDU2ZjUxOTNmNzFmMmMuanBlZw%3D%3D,,,
"18th March, 2021",Peshawar,KP,Minor raped inside seminary,"Child abuse, rape",,Female,,,,,https://tribune.com.pk/epaper/news/Karachi/2021-03-19/YTJmOTU3ZjhkYWU4Y2QwNjZkYzQwM2Y5MDEzYzkxM2EuanBlZw%3D%3D,,,
"18th March, 2021",Attock,Punjab,Two persons raped a 13-year-old girl at her house by threatening her to kill,"Child abuse, rape",13,Female,,,,,https://www.dawn.com/news/1613258/girl-sexually-assaulted,,,
"18th March, 2021",Khurrianwala,Punjab,"A young man being treated at a drug rehabilitation centre was molested by two men, including a security guard.","Rape, threats",19,Male,,,,,https://tribune.com.pk/story/2290235/two-drug-addicts-sexually-assaulted,,,
"18th March, 2021",Khurrianwala,Punjab,Men entered a house by climbing over the wall and sexually assaulted a 18-year-old woman at gunpoint.,Rape,18,Female,,,,,https://tribune.com.pk/story/2290235/two-drug-addicts-sexually-assaulted,,,
"18th March, 2021",Khurrianwala,Punjab,A minor boy was taken by accused Muhammad Waseem to a toilet in the mosque at gunpoint and tried to sexually assault him but the suspect fled the scene after the noise of the child successfully thwarted his rape attempt.,"Child abuse, attempted rape",8,Male,,,,,https://tribune.com.pk/story/2290235/two-drug-addicts-sexually-assaulted,,,
"19th March, 2021",Dijkot,Punjab,A man killed a woman and then himself after she refused his marriage proposal,Murder,24,Female,,,,,https://tribune.com.pk/story/2290401/jilted-lover-kills-beloved-self,,,
"20th March, 2021",Peshawar,KP,Police arrested a woman for killing two years old son of her brother-in-law over a minor domestic issue,"Child abuse, murder, domestic violence",2,Male,,,,,https://www.dawn.com/news/1613643/woman-held-for-killing-minor-nephew-in-peshawar,,,
"20th March, 2021",Rawalpindi,Punjab,Two were arrested for ganf raping a woman who had come from Rawapindi to visit a shrine near Gharibwal area of Pind Dadan Khan where a man forcefully took her to his place and raped him along with two other men.,"Gang rape, abuduction",,Female,,,,,https://www.dawn.com/news/1613648/two-arrested-in-gang-rape-case,,,
"20th March, 2021",Khurrianwala,Punjab,A minor boy playing outside his house was sexually abused by an 18-year-old boy.,"Child abuse, rape",7,Male,,,,,https://tribune.com.pk/story/2290598/minor-differently-abled-woman-molested,,,
"20th March, 2021",Khurrianwala,Punjab,A differently-abled woman was present at her house when the suspect entered it and assaulted her.,Rape,27,Female,,,,,https://tribune.com.pk/story/2290598/minor-differently-abled-woman-molested,,,
"22nd March, 2021",Karachi,Sindh,An elderly man was held for attempting to sexually assault a minor girl at a model family park in Korangi,"Child abuse, sexual assault","Unknown, but minor",Female,,,,,https://www.thenews.com.pk/print/807935-elderly-man-detained-for-sexually-assaulting-girl,,,
"22nd March, 2021",Karachi,Sindh,Police arrested two teachers of a madrassa for the rape and murder a young student in Sehwan,"Child abuse, rape, murder",13,Male,,,,,https://www.thenews.com.pk/print/809046-boy-s-rape-murder-case-sehwan-police-arrest-two-main-accused,,,
"22nd March, 2021",Rawalpindi,Punjab,"A minor girl was kidnapped, molested and killed","Child abuse, sexual assault, murder",9,Female,,,,,https://www.thenews.com.pk/print/808863-protest-against-killing-of-minor-girl,,,
"23rd March, 2021",Karachi,Sindh,A woman was strangled in the name of honour allegedly by her husband and brother,"Domestic violence, honour killing, murder",24,Female,,,,,https://www.thenews.com.pk/print/808914-husband-brother-arrested-as-woman-strangled-for-honour,,,
"3rd April, 2021",Swabi,KP,A man forcibly stripped another man naked in the presence of other people and forced him to parade naked allegedly as revenge for an insult of a woman of the man's family by the victim a few days ago.,Harassment,,Male,,,,,https://www.dawn.com/news/1616261/man-held-for-parading-rival-naked-in-swabi,,,
